"addon"
{
	"Unassigned"      								"Unassigned Team"
	"Spectator"       								"Spectator Team"
	"Neutrals"        								"Neutral Team"
	"NoTeam"          								"No Team"
	
	"addonname"										"Tree Tag"
	"Language"		"english"
	"Tokens"
	{
        "locale" 					"en"
		"addon_game_name"			"Tree Tag"
		
		"DOTA_GoodGuys"   								"Ent"
		"DOTA_BadGuys"    								"Infernal"
		
		// ******************** HEROES ********************
		"npc_dota_hero_treant"        "Ent"

		// ******************** UNITS ********************
		"resource_storage_1"	"Resource Storage Small"
		"resource_storage_2"	"Resource Storage Medium"
		"resource_storage_3"	"Resource Storage Big"
		"sentry_tower"			"Sentry Tower"
		"basic_tree"			"Basic Tree"
		"armored_tree"			"Armored Tree"
		"invisible_tree"		"Invisible Tree"
		"tree_of_life"			"Tree of Life"
		"tree_aura"				"Tree Aura"
		"noob_infernal_killer"	"Noob Infernal Killer"

		// ********************* ITEMS ********************
		"DOTA_Tooltip_Ability_item_ent_blink"		"Blink Dagger"
		"DOTA_Tooltip_Ability_item_ent_hand_1"		"Regrow"
		"DOTA_Tooltip_Ability_item_ent_hand_2"		"Destroy Tree"
		"DOTA_Tooltip_Ability_item_ent_invis"		"Wind Walk"
		"DOTA_Tooltip_Ability_item_ent_destroy_aoe"	"Destroy Tree AOE"

		// ********************* SPELLS ********************
		"DOTA_Tooltip_Ability_build_resource_storage_1"		"Build Resource Storage"
		"DOTA_Tooltip_Ability_build_tree_of_life"			"Build Tree of Life"
		"DOTA_Tooltip_Ability_build_basic_tree"				"Build Basic Tree"
		"DOTA_Tooltip_Ability_build_armored_tree"			"Build Armored Tree"
		"DOTA_Tooltip_Ability_build_invisible_tree"			"Build Invisible Tree"
		"DOTA_Tooltip_Ability_build_sentry_tower"			"Build Sentry Tower"
		"DOTA_Tooltip_Ability_build_noob_infernal_killer"	"Build Noob Infernal Killer"
		"DOTA_Tooltip_Ability_build_tree_aura"				"Build Tree Aura"

		// ********************* ERRORS ********************
		"error_unit_nearby"			"There is units nearby"
		"error_not_enough_gold" 	"Not enough gold"
		"error_not_enough_lumber"	"Not enough lumber"
	}
}
